id,table,trigger,targets,rule,evidence,source,decision,status,notes
R001,questionnaire,DEMOG_HEIGHT_ENTER_UNIT_1_1,DEMOG_HEIGHT_1_1,unit -1 or -3 -> height -998 (skip); unit 1 -> height asked (applicability),quoted,Questionnaire Logic v2.2 section1,D033,encoded,
R002,questionnaire,DEMOG_HEIGHT_ENTER_UNIT_1_1,DEMOG_HEIGHT_1_1,unit 2 -> height asked (applicability); the skip half is R001's,quoted,Questionnaire Logic v2.2 section1,D033,encoded,
R003,questionnaire,DEMOG_WEIGHT_ENTER_UNIT_1_1,DEMOG_WEIGHT_1_1,unit -1 or -3 -> weight -998 (skip); unit 1 -> weight asked (applicability),quoted,Questionnaire Logic v2.2 section1,D033,encoded,
R004,questionnaire,DEMOG_WEIGHT_ENTER_UNIT_1_1,DEMOG_WEIGHT_1_1,unit 2 -> weight asked (applicability); the skip half is R003's,quoted,Questionnaire Logic v2.2 section1,D033,encoded,
R005,questionnaire,DEMOG_RELATSH_STATUS_2_1,DEMOG_RELATSH_MARR_CURR_1_1,status 2 or 4 -> asked; any other status -> -998,quoted,Questionnaire Logic v2.2 section1,D033,encoded,keyed on the v2 questionnaire gate; v1 respondents (STATUS_2_1 = -998) unconstrained (D022)
R006,questionnaire,DEMOG_RELATSH_STATUS_2_1,DEMOG_RELATSH_CIVIL_CURR_1_1,status 3 or 5 -> asked; any other status -> -998,quoted,Questionnaire Logic v2.2 section1,D033,encoded,keyed on the v2 questionnaire gate; v1 respondents (STATUS_2_1 = -998) unconstrained (D022)
R007,questionnaire,DEMOG_RELATSH_STATUS_2_1,DEMOG_RELATSH_MARR_PREV_1_1,status 6 or 8 -> asked; any other status -> -998,quoted,Questionnaire Logic v2.2 section1,D033,encoded,keyed on the v2 questionnaire gate; v1 respondents (STATUS_2_1 = -998) unconstrained (D022)
R008,questionnaire,DEMOG_RELATSH_STATUS_2_1,DEMOG_RELATSH_CIVIL_PREV_1_1,status 7 or 9 -> asked; any other status -> -998,quoted,Questionnaire Logic v2.2 section1,D033,encoded,keyed on the v2 questionnaire gate; v1 respondents (STATUS_2_1 = -998) unconstrained (D022)
R009,questionnaire,HOUSING_TYPE_1_1,HOUSING_TENURE_1_1,"type 1, 2, 3, -7 or -3 -> asked; type 4 or 5 -> -998",quoted,Questionnaire Logic v2.2 section1,D033,encoded,
R010,questionnaire,HOUSING_PEOPLE_1_1,HOUSING_PEOPLE_RELATE_1_M,"household of more than one, or -1/-3 -> asked; household of one -> [-998]",quoted,Questionnaire Logic v2.2 section1,D033,encoded,
R011,questionnaire,WORK_STATUS_2_M,WORK_YRS_1_1;WORK_WK_HRS_1_1;WORK_WK_TRAVEL_1_1;WORK_TRANSPORT_1_M;WORK_DISTANCE_1_1;WORK_WALK_STAND_1_1;WORK_MANUAL_LABOUR_1_1;WORK_SHIFTS_1_1,"work status includes 1, 3, 6, 8, -3 or -7 -> the eight work questions asked; only 2, 4, 7, 9 or -5 -> -998",quoted,Questionnaire Logic v2.2 section2,D050,encoded,"keyed on the v2 gate (array, ANY of); v1 respondents (WORK_STATUS_2_M = [-998]) unconstrained (D022)"
R012,questionnaire,WORK_STATUS_2_M;WORK_SHIFTS_1_1,WORK_NIGHTS_1_1,"night shifts asked only in the R011 group and when shifts is 2, 3, 4, -1 or -3; otherwise -998",quoted,Questionnaire Logic v2.2 section2,D050,encoded,
R013,questionnaire,ACTIVITY_WALK_DAYS_2_1,ACTIVITY_WALK_MINS_2_1;ACTIVITY_WALK_PACE_1_1;ACTIVITY_STAIRS_1_1,"walking days a number 0-7, -1 or -3 -> minutes walked, pace, stairs asked; -2 (unable to walk) -> -998",quoted,Questionnaire Logic v2.2 section3,D064,encoded,
